date,count
2014-06-25,4
2014-06-29,3
2014-08-26,1
2014-08-28,1
2014-09-08,1
2014-09-21,53
2014-09-24,116
2014-09-28,166
2014-09-29,223
2014-09-30,151
2014-10-01,204
2014-10-02,257
2014-10-03,104
2014-10-04,106
2014-10-05,164
2014-10-06,250
2014-10-07,291
2014-10-08,169
2014-10-09,188
2014-10-10,88
2014-10-11,86
2014-10-12,309
2014-10-13,251
2014-10-14,202
2014-10-15,273
2014-10-16,271
2014-10-17,95
2014-10-18,98
2014-10-19,280
2014-10-20,415
2014-10-21,420
2014-10-22,355
2014-10-23,307
2014-10-24,100
2014-10-25,90
2014-10-26,301
2014-10-27,394
2014-10-28,330
2014-10-29,253
2014-10-30,339
2014-10-31,85
2014-11-01,128
2014-11-02,407
2014-11-03,315
2014-11-04,257
2014-11-05,170
2014-11-06,302
2014-11-07,52
2014-11-08,94
2014-11-09,264
2014-11-10,346
2014-11-11,231
2014-11-12,309
2014-11-13,223
2014-11-14,24
2014-11-15,107
2014-11-16,252
2014-11-17,356
2014-11-18,293
2014-11-19,273
2014-11-20,254
2014-11-21,41
2014-11-22,107
2014-11-23,332
2014-11-24,338
2014-11-25,381
2014-11-26,170
2014-11-27,194
2014-11-28,69
2014-11-29,90
2014-11-30,154
2014-12-01,166
2014-12-02,76
2014-12-03,217
2014-12-04,241
2014-12-05,40
2014-12-06,88
2014-12-07,237
2014-12-08,321
2014-12-09,264
2014-12-10,243
2014-12-11,273
2014-12-12,56
2014-12-13,115
2014-12-14,165
2014-12-15,215
2014-12-16,226
2014-12-17,216
2014-12-18,305
2014-12-19,83
2014-12-20,103
2014-12-21,358
2014-12-22,244
2014-12-23,135
2014-12-24,81
2014-12-25,77
2014-12-26,50
2014-12-27,57
2014-12-28,207
2014-12-29,188
2014-12-30,90
2014-12-31,55
2015-01-01,162
2015-01-02,90
2015-01-03,88
2015-01-04,347
2015-01-05,477
2015-01-06,401
2015-01-07,468
2015-01-08,444
2015-01-09,134
2015-01-10,185
2015-01-11,459
2015-01-12,422
2015-01-13,422
2015-01-14,454
2015-01-15,449
2015-01-16,161
2015-01-17,128
2015-01-18,418
2015-01-19,389
2015-01-20,417
2015-01-21,376
2015-01-22,223
2015-01-23,156
2015-01-24,137
2015-01-25,388
2015-01-26,321
2015-01-27,254
2015-01-28,233
2015-01-29,261
2015-01-30,114
2015-01-31,104
2015-02-01,295
2015-02-02,235
2015-02-03,365
2015-02-04,265
2015-02-05,201
2015-02-06,51
2015-02-07,62
2015-02-08,284
2015-02-09,273
2015-02-10,253
2015-02-11,110
2015-02-12,220
2015-02-13,77
2015-02-14,40
2015-02-15,262
2015-02-16,274
2015-02-17,245
2015-02-18,207
2015-02-19,159
2015-02-20,91
2015-02-21,68
2015-02-22,164
2015-02-23,256
2015-02-24,358
2015-02-25,394
2015-02-26,274
2015-02-27,100
2015-02-28,110
2015-03-01,275
2015-03-02,464
2015-03-03,654
2015-03-04,527
2015-03-05,339
2015-03-06,177
2015-03-07,229
2015-03-08,351
2015-03-09,448
2015-03-10,379
2015-03-11,441
2015-03-12,409
2015-03-13,369
2015-03-14,133
2015-03-15,613
2015-03-16,461
2015-03-17,545
2015-03-18,426
2015-03-19,459
2015-03-20,235
2015-03-21,281
2015-03-22,456
2015-03-23,487
2015-03-24,464
2015-03-25,630
2015-03-26,607
2015-03-27,243
2015-03-28,150
2015-03-29,346
2015-03-30,365
2015-03-31,367
2015-04-01,406
2015-04-02,200
2015-04-03,42
2015-04-04,31
2015-04-05,269
2015-04-06,565
2015-04-07,402
2015-04-08,419
2015-04-09,469
2015-04-10,122
2015-04-11,199
2015-04-12,451
2015-04-13,575
2015-04-14,295
2015-04-15,304
2015-04-16,397
2015-04-17,69
2015-04-18,234
2015-04-19,411
2015-04-20,376
2015-04-21,314
2015-04-22,304
2015-04-23,314
2015-04-24,89
2015-04-25,105
2015-04-26,366
2015-04-27,364
2015-04-28,352
2015-04-29,447
2015-04-30,314
2015-05-01,74
2015-05-02,163
2015-05-03,420
2015-05-04,374
2015-05-05,424
2015-05-06,434
2015-05-07,306
2015-05-08,101
2015-05-09,118
2015-05-10,305
2015-05-11,387
2015-05-12,378
2015-05-13,327
2015-05-14,315
2015-05-15,138
2015-05-16,171
2015-05-17,500
2015-05-18,447
2015-05-19,487
2015-05-20,201
2015-05-21,391
2015-05-22,114
2015-05-23,107
2015-05-24,214
2015-05-25,380
2015-05-26,238
2015-05-27,312
2015-05-28,228
2015-05-29,63
2015-05-30,50
2015-05-31,316
2015-06-01,397
2015-06-02,324
2015-06-03,384
2015-06-04,368
2015-06-05,86
2015-06-06,93
2015-06-07,222
2015-06-08,442
2015-06-09,600
2015-06-10,429
2015-06-11,689
2015-06-12,176
2015-06-13,127
2015-06-14,603
2015-06-15,667
2015-06-16,673
2015-06-17,421
2015-06-18,451
2015-06-19,329
2015-06-20,173
2015-06-21,158
2015-06-22,437
2015-06-23,628
2015-06-24,372
2015-06-25,418
2015-06-26,208
2015-06-27,77
2015-06-28,570
2015-06-29,880
2015-06-30,729
2015-07-01,497
2015-07-02,376
2015-07-03,64
2015-07-04,156
2015-07-05,596
2015-07-06,623
2015-07-07,441
2015-07-08,623
2015-07-09,603
2015-07-10,123
2015-07-11,122
2015-07-12,413
2015-07-13,650
2015-07-14,588
2015-07-15,556
2015-07-16,452
2015-07-17,126
2015-07-18,133
2015-07-19,562
2015-07-20,594
2015-07-21,500
2015-07-22,363
2015-07-23,291
2015-07-24,93
2015-07-25,84
2015-07-26,475
2015-07-27,587
2015-07-28,676
2015-07-29,514
2015-07-30,227
